日期,600030,600837
2024-11-07,33.38,12.85
2024-11-08,34.07,12.48
2024-11-11,34.07,12.39
2024-11-12,33.12,12.18
2024-11-13,32.11,12.21
2024-11-14,31.86,12.01
2024-11-15,30.32,11.62
2024-11-18,29.86,11.57
2024-11-19,30.49,11.71
2024-11-20,30.93,11.66
2024-11-21,31.08,11.73
2024-11-22,29.52,11.32
2024-11-25,28.85,11.27
2024-11-26,28.91,11.22
2024-11-27,29.47,11.4
2024-11-28,29.06,11.29
2024-11-29,29.94,11.41
2024-12-02,30.46,11.51
2024-12-03,30.27,11.64
2024-12-04,29.99,11.46
2024-12-05,30.09,11.58
2024-12-06,30.43,11.72
2024-12-09,30.31,11.54
2024-12-10,30.67,11.63
2024-12-11,30.53,11.66
2024-12-12,30.85,11.78
2024-12-13,29.61,11.53
2024-12-16,29.22,11.44
2024-12-17,29.42,11.43
2024-12-18,29.48,11.43
2024-12-19,29.52,11.42
2024-12-20,29.77,11.39
2024-12-23,29.35,11.31
2024-12-24,29.75,11.5
2024-12-25,29.52,11.42
2024-12-26,29.58,11.33
2024-12-27,29.65,11.34
2024-12-30,29.94,11.41
2024-12-31,28.6,11.12
2025-01-02,26.88,10.68
2025-01-03,26.4,10.4
2025-01-06,26.49,10.56
2025-01-07,26.59,10.72
2025-01-08,26.41,10.66
2025-01-09,26.32,10.57
2025-01-10,25.89,10.42
2025-01-13,25.94,10.37
2025-01-14,27.13,10.65
2025-01-15,26.8,10.58
2025-01-16,26.68,10.54
2025-01-17,26.74,10.56
2025-01-20,26.83,10.72
2025-01-21,26.85,10.72
2025-01-22,26.66,10.57
2025-01-23,26.88,10.3
2025-01-24,26.97,10.84
2025-01-27,26.36,10.58
2025-02-05,26.38,10.41
